Transaction_ID,Date,Customer_Name,Gender,Age,Income,Category,Region,Sales_Amount,Quantity
0ee1dae6-0c8b-4b85-9e5e-6b69867d188a,17/07/2022,Nicholas Sherman,Female,28,70172,Entertainment,South,599.1,7
a4c50a70-c28a-422b-af9b-7b26d2c76d06,06/04/2023,Robert Davis,Female,28,111207,Electronics,East,67.6,4
b53b3e07-e064-480b-85f4-0e5c3ece5414,27/11/2023,Kerry Reed,Male,22,55736,Electronics,North,932.03,8
b9e82138-676a-442b-8810-9149a568eb07,14/11/2024,Erik Huerta,Male,36,72545,Entertainment,East,67.88,2
9c2e19b7-1599-4778-9f36-a5ce9c72e191,29/03/2021,Steven Obrien,Female,69,141100,Groceris,West,217.54,3
d86a7af5-1330-4a51-81df-34d9aeaa1423,19/03/2021,Amy Alvarez,Female,32,45239,Electronics,West,857.25,2
6c0a9466-c418-454b-950f-c2c954efca81,05/08/2023,Caleb Reyes,Female,63,60651,Health & Beauty,Central,505.64,3
d49d7d27-bfa3-40ee-af11-f9b3b9b45177,03/08/2024,Sarah Martinez,Male,31,29598,Clothing,South,630.88,2
7bdf6000-d898-41c8-b199-cb67a506ab4e,29/09/2021,Dr. James Whitehead PhD,Female,64,116174,Health & Beauty,North,428.3,8
b55ac7cf-0d90-4c5c-8675-4fb64539558d,29/09/2021,Erica Ibarra,Female,46,104287,Entertainment,Central,108.03,2
f2e2f06d-432a-49d1-99d7-f955b1cf0f43,23/05/2024,Amanda Hicks,Male,23,134793,Funiture,West,849.22,1
d574ff17-c0bf-4aa0-8e4b-7a72fca73290,02/03/2021,Robert Fernandez,Male,29,85836,Clothing,North,812.48,7
ba88296e-ef38-4a96-beab-910c63595c8b,03/11/2023,Michael Rose,Female,51,64268,Electronics,North,372.73,5
228dcb54-99d3-4140-b902-708996b8715e,22/10/2022,Anne Wade,Female,26,56827,Funiture,North,309.42,7
ba485b6a-443d-40fa-8b0f-6e12e578d027,09/02/2020,Jennifer Roach,Male,51,92032,Entertainment,West,830.08,9
777129d8-6cd4-4176-82af-ac4bee00c029,19/10/2023,Brandy Miller,Male,54,48946,Electronics,South,408.65,9
12a27351-183e-4328-b3e8-b1f741eb7026,26/06/2023,Ricky Yang,Female,31,73955,Electronics,Central,724.4,8
a6d77c6b-4b3f-446b-85ab-1d243aced928,01/01/2023,Paula Hernandez,Female,63,117152,Electronics,Central,380.21,6
9e6ef509-211e-4de9-9a22-4ad794157ee1,14/08/2024,Elizabeth Macdonald,Female,67,107827,Health & Beauty,West,262.26,7
a667fb77-849b-48b6-8e1c-1f8af87e7d9d,08/06/2021,Jessica Rodgers,Male,46,49752,Funiture,East,889.53,1
ec25e224-3e43-4c6f-97a6-64b49c78ae4e,20/12/2023,Tina Sheppard,Female,25,133345,Electronics,South,295.7,4
58a92aaa-7dc1-49d8-b4ef-6d5d7c88d80e,09/09/2020,Tiffany Bernard,Male,25,68682,Electronics,East,595.1,8
7c666717-de41-4e18-8eed-c95b2ba61ae9,25/12/2024,Brittany Livingston,Female,52,30152,Electronics,West,382.52,5
1d647c8c-1848-4789-a840-16bd6edb53b0,27/06/2021,Colton Orr,Male,33,120462,Clothing,West,622.67,3
6fca96d0-ff0b-4d32-897f-f8cdf59eb182,22/06/2020,Thomas Ryan,Male,19,143570,Clothing,Central,628.93,6
2be3b009-a1c9-42a3-9a68-9a905efb0ce3,05/01/2022,Kaitlyn Martin,Male,69,25173,Entertainment,West,145.63,1
7d907bb7-1fd6-4fb6-b4e4-8bf24359a1aa,17/09/2024,Craig Williams,Male,23,101259,Health & Beauty,North,982.46,4
bd3c24dc-260d-4b9b-b655-ceff400bc427,10/09/2022,Monica Colon,Female,43,74609,Entertainment,Central,291.35,7
53f8ac7b-41fa-4ea7-b99f-2912bacdf1a5,09/12/2020,Kim Webb,Female,36,41363,Clothing,West,44.94,3
3da1f145-a23c-41dd-b44c-6934ff2ed5b0,27/05/2024,Alexander Brown,Male,56,38087,Clothing,South,459.25,7
c42351fb-56ff-4206-aaae-1276fd9a97bf,24/05/2021,Jacob Zuniga,Male,27,133042,Health & Beauty,South,811.09,3
fdf7d485-9281-49bd-82e2-e773d8c4a1ae,31/08/2021,Jill Medina,Male,36,87799,Funiture,North,1804.64,8
120db64b-9606-4e24-b6f5-b0a323d05c3c,16/07/2023,Pamela Mcguire,Female,21,75001,Funiture,West,704.63,2
8af250b3-b141-43aa-9f4f-e169145fe68d,18/10/2023,Melissa Glenn,Female,47,135530,Entertainment,East,421.53,5
53738847-61eb-455d-98d2-655f7afcf546,21/04/2023,Amanda Crawford,Female,69,59930,Entertainment,West,281.07,4
093b887c-836b-4c21-96fc-d0b84ce3fb49,07/10/2021,Patricia Wilcox,Female,62,56267,Electronics,South,136.78,5
3497b23a-37e6-4c77-ad25-57d93ec73d99,14/01/2020,Scott Moss,Male,48,85568,Clothing,Central,247.71,1
d46d673c-1175-4cf6-b33c-d9812431f941,06/05/2022,Tiffany Taylor,Male,43,53571,Electronics,West,107.3,4
